AssertFlip 运行汇总报告
数据集文件: /root/Baxxhy/BugReproduce/AssertFlip/datasets/SWT_Verified_Agentless_Test_Source_Skeleton.json
本报告统计范围: 前 80 条 / 数据集原始总数 433 条
结果目录: /root/Baxxhy/BugReproduce/AssertFlip/assertflip_swt_verified_first80_run/results

指标说明:
- 这个报告只统计你这次本地运行 AssertFlip 的结果，不再混入仓库自带的历史评测 JSON。
- “本地生成成功，AssertFlip已接受”表示 AssertFlip 生成并接受了一个 bug-revealing 测试文件。
- 这还不是最终 F2P。真正 F2P 还需要再跑 SWE-Bench evaluator：测试要在 buggy 版本失败，并且在 fixed/golden patch 版本通过。
- 论文里的覆盖率是 Delta Mean Change Coverage，也就是 golden patch 修改行上的覆盖率变化；不是 attempts 日志里的普通 coverage.py 总覆盖率。
- 当前表里的运行覆盖率来自 attempts 日志，是生成测试在 buggy checkout 上跑出来的普通 coverage.py 总覆盖率。

总条数: 80
有生成尝试日志的条数: 36
被 AssertFlip 在 buggy 侧接受的条数: 10
本地接受率: 12.50%
生成了尝试但未被接受的条数: 26
本地运行错误条数: 44
最终 F2P 成功条数: 当前未计算，需要另跑 SWE-Bench evaluator
最终 F2P 成功率: 当前未计算，需要另跑 SWE-Bench evaluator

逐条结果表:
序号	实例ID	本地运行结果	是否有生成日志	是否被AssertFlip接受	流程阶段	运行覆盖率百分比	失败原因或说明
60	django__django-11964	运行错误	否	否			Command 'docker exec 1d55c88d858ecc76ba342ff564290f9e7df6cbef0806fdab50b9943fcbf74ec6 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
61	django__django-11999	运行错误	否	否			Command 'docker exec 3bd4b142be39003ce0571dc8246b8834368c66db7fd61ac52dcd4b4111f2273a bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
62	django__django-12050	运行错误	否	否			Command 'docker exec bfd7ffda4d04a882cd242593abdaa39701792a5d35c656b68776bb8bf252bfe4 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
63	django__django-12125	运行错误	否	否			Command 'docker exec 515391f25109da91e9e16cbc6d9bb1b83f96d5a1f2318c10c577560daacfdc0b bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
64	django__django-12155	运行错误	否	否			Command 'docker exec b12f7686f0c8cdf9e7d5ffaca95149c41941676f5a401daee1ebd3943b35180b bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
65	django__django-12209	运行错误	否	否			Command 'docker exec b9d0564a4d1978354c7765f95709fb23a9c265aa9ee3f151af0335a5d1beb1ac bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
66	django__django-12262	运行错误	否	否			Command 'docker exec a7b42543274897cf0e8ae6179c03790d6b2662399d24958c6de39475c9913be8 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
67	django__django-12273	运行错误	否	否			Command 'docker exec 6989da20763ac6faebe4027668d78805c2ead238611c919360d08a8b2e23d448 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
68	django__django-12276	运行错误	否	否			Command 'docker exec a5088f01b056ac5e52f9f379fc0ee86b5eb8bcf8d6fad810c1997886e9cd8114 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
69	django__django-12304	运行错误	否	否			Command 'docker exec c1388464c60fb07a93ec68dbe00ed8b4ca2a68d5f1f2eda905846e6dd22c9d6f bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
70	django__django-12308	运行错误	否	否			Command 'docker exec 5c6afd1eb64ff07137af4a249d7000a935926772d92bd36e010285ab64466516 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
71	django__django-12325	运行错误	否	否			Command 'docker exec 013ad57e9dd91a23f4f6471f10e3a0b5b60e596064e165e8a5eeec927217daac bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
72	django__django-12406	运行错误	否	否			Command 'docker exec ceb9b6e2b0696a56b55f123fcea02b53920aa1450c160228a1df7c253c64f5a4 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
73	django__django-12419	运行错误	否	否			Command 'docker exec aabf8ae6b09020fc476d3d4c9f1d8625e8a833f94cc669846511c522fa6b8bdd bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
74	django__django-12663	运行错误	否	否			Command 'docker exec 144ee4521ccdd6269e62d63d6b60e323cda547e7ac2ada1d02fc90325767343f bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
75	django__django-12708	运行错误	否	否			Command 'docker exec 35a557fdf6037db1814e3aa30da61c71436ae9bfd31923bbea7e8510f1a3510f bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
76	django__django-12713	运行错误	否	否			Command 'docker exec 6e28c91fc443e99c95e8e179ade20bded92b6ce50661c45192428259da2dcda3 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
77	django__django-12741	运行错误	否	否			Command 'docker exec fb6020698f11d29baf92b2d7cc66087d43e9c275e421a5f07017f74c5e447ac9 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
78	django__django-12754	运行错误	否	否			Command 'docker exec ddc38a3a2f068967cb4e02f2cae8eceff5446ce9ab2b6474368794764752be6c bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
79	django__django-12774	运行错误	否	否			Command 'docker exec 503c6a4b83bff50f7d149436e1561d04c24976fbf64fb7a13ed2d91d8e289005 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
80	django__django-12858	运行错误	否	否			Command 'docker exec 6d7638ca9721179df610134d58e116b0db6fc25e335afb369e38be698fd1ac11 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
